YR,MM,DD,PCP,TMAX,TMIN,WDSP,RLTV_HMDT,SLRD
2011,1,1,0.0,-3.58298621296568,-11.814682454023,1.8,0.305935380328076,-99
2011,1,2,0.0,-6.90693162495034,-16.0341730806894,2.35481578908332,0.321296771169802,-99
2011,1,3,0.0,-10.9405981992827,-16.6721160902965,3.0,0.448084251265258,-99
2011,1,4,0.0,-9.59661526889808,-15.9667376287952,1.97005974946613,0.511826340043658,-99
2011,1,5,0.1,-7.99412002833721,-17.3296658158103,3.38148815746782,0.871351206434316,-99
2011,1,6,0.0,-12.2746162510203,-24.6759130656963,6.98708659894517,0.780176831468784,-99
2011,1,7,0.0,-16.543890906945,-24.406054948564,5.9554283554091,1.0,-99
2011,1,8,0.0,-7.63333333333334,-15.2903839035225,4.89147301430048,0.835772916342513,-99
2011,1,9,0.0,-4.52651850298773,-13.3512111939488,4.29285742395026,0.5,-99
2011,1,10,0.0,-1.68410931001603,-11.5191820401628,0.0762239049876862,0.69,-99
2011,1,11,0.0,-1.73561125561598,-12.0,1.78324027377522,0.49,-99
2011,1,12,0.0,-7.51068090787717,-19.0252329741351,7.67051705226435,0.533572044866264,-99
2011,1,13,0.0,-7.43624833110815,-14.9591857280512,5.0240275221052,0.5,-99
2011,1,14,0.0,-7.31715620827771,-17.5222300350912,4.0,0.336853938781138,-99
2011,1,15,0.0,-10.1002099666441,-18.3901239396919,5.99330309060692,0.61,-99
2011,1,16,0.1,-7.86666666666667,-16.2001450130679,7.80685571155438,1.0,-99
2011,1,17,0.0,-5.54450880504771,-15.004049303383,4.34753451038144,0.484266813671444,-99
2011,1,18,0.0,-6.0,-13.3999024604105,1.0,0.54,-99
2011,1,19,0.0,-5.51179695378966,-12.2895887362736,1.47155445154168,0.67,-99
2011,1,20,0.0,-1.69645153719784,-10.3596938026358,0.8,0.65,-99
2011,1,21,0.0,0.45902106851796,-8.55662486963346,2.6,0.51,-99
2011,1,22,0.0,2.44662819337937,-6.92625423111652,0.8,0.777877790834312,-99
