YR,MM,DD,PCP,TMAX,TMIN,WDSP,RLTV_HMDT,SLRD
2011,1,1,0.0,3.56494187382072,-8.71067539322184,2.23789138779558,0.59,-99
2011,1,2,0.0,-2.00329292262187,-9.38473646209386,1.8,0.42572190743338,-99
2011,1,3,0.278996408414571,-3.80513706020783,-12.493186818654,0.8867,0.52,-99
2011,1,4,0.0,0.119281610948769,-11.948506841166,1.4956500215987,0.61,-99
2011,1,5,0.0,1.73203936197983,-10.1758531873793,3.91437440649661,0.743676222596965,-99
2011,1,6,0.0,1.54914621055121,-9.4120021674343,0.891589575065769,0.45,-99
2011,1,7,0.0,2.9413642195919,-9.39340072202166,2.83850072063523,0.59,-99
2011,1,8,0.0,2.34789977224267,-8.66166382003848,0.8,0.58,-99
2011,1,9,0.0,1.62219646102826,-9.62375967228038,5.97466986794718,0.797620394097376,-99
2011,1,10,0.0,0.385045828438309,-10.6141114503817,2.8,0.49,-99
2011,1,11,0.0,3.53123957876489,-9.17180728028504,1.5,0.48,-99
2011,1,12,0.0,4.81471218223281,-9.33275090252708,0.8867,0.58,-99
2011,1,13,0.0,5.27395555435085,-5.85537169294346,0.8,1.0,-99
2011,1,14,0.0,5.13578629191489,-9.42825792468166,2.24993642894946,1.0,-99
2011,1,15,0.0,1.23447118503787,-9.26874797800065,0.5,0.591188251001336,-99
2011,1,16,0.0,4.93276221653285,-5.89258141310695,1.47512380772687,0.737697947214077,-99
2011,1,17,0.0,-4.87104170538991,-11.3314584370333,3.35124980986665,0.300232705635032,-99
2011,1,18,0.0,-4.68735197563097,-11.0544419134396,1.3,0.237091137867749,-99
2011,1,19,0.0,-13.2885539870279,-13.2885539870279,3.9243943809555,0.44,-99
2011,1,20,0.0,-12.7152001245912,-12.7152001245912,5.31175590786719,0.44,-99
2011,1,21,0.0,-11.5646052854569,-12.0,6.10663937007875,0.44,-99
2011,1,22,0.0,-5.9758288134026,-14.5264602613318,0.9,0.415096284241931,-99
2011,1,23,0.0,3.49325065173973,-10.1951706374759,1.3,0.59,-99
2011,1,24,0.0,13.210114,-4.80143288920064,0.9,0.853354671280277,-99
2011,1,25,0.0,-4.41610010445182,-9.65106964041875,7.28519078647467,0.355372831989468,-99
2011,1,26,0.0,-3.92315195097149,-10.3886162235855,3.0,0.321573057360968,-99
2011,1,27,0.0,-5.00653963083745,-10.9932504440497,11.3314194693938,0.311357151756906,-99
2011,1,28,0.0,-3.87474699325284,-10.4960110803324,3.95995546678018,0.429026658588307,-99
2011,1,29,0.0,3.94185792555267,-6.44922256774767,3.7299877053761,0.5,-99
2011,1,30,0.0,5.48773346090624,-5.93370794591924,2.31837638032522,0.404419968530968,-99
2011,1,31,0.0,4.85214489210653,-5.89258141310695,2.5,0.59,-99
2011,2,1,0.0,3.85987179134932,-5.83150684931507,1.3,0.58,-99
2011,2,2,0.0,-2.87903550034376,-7.33726576687117,4.56279533392602,0.359318235995232,-99
2011,2,3,1.09996038397074,0.440297999750361,-6.85005958019898,0.835882050385244,0.354863528009535,-99
2011,2,4,0.0,1.0,-13.4419053562196,1.6,0.988013748346037,-99
2011,2,5,0.648387096774193,-0.458835554453118,-12.8551934826884,0.9376,0.866470264317181,-99
2011,2,6,0.0,0.603531630178073,-8.06066402020931,6.38628005657709,0.67,-99
2011,2,7,0.0,-2.86138117722792,-12.2915966386555,6.91019997854863,0.617796610169492,-99
2011,2,8,0.0,-3.69207915683269,-13.6403567924119,5.72851660516605,0.659918962722853,-99
2011,2,9,0.0,-1.7,-14.3010358565737,1.79306636910045,0.65,-99
