지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
105,강릉,2022-01-01,-0.4,-5.7,6.4,,2.5,34
105,강릉,2022-01-02,4.3,0,8.7,,3.3,41.3
105,강릉,2022-01-03,1.9,-1.2,5.9,,3,35.4
105,강릉,2022-01-04,1.3,-2.1,5.9,,1.7,46.9
105,강릉,2022-01-05,1.1,-3.3,5.7,,2.1,60.9
105,강릉,2022-01-06,1.7,-3,8,,2,57
105,강릉,2022-01-07,2.6,-1.7,9.5,,2.3,41.1
105,강릉,2022-01-08,4.8,1.7,9.7,,3.6,42.3
105,강릉,2022-01-09,4.2,0.8,8.5,,1.4,62
105,강릉,2022-01-10,4.4,0.6,9.2,,2.3,60.8
105,강릉,2022-01-11,-0.3,-5.4,3.6,,3.4,38.9
105,강릉,2022-01-12,-2.7,-7.2,3.3,,3.5,31.5
105,강릉,2022-01-13,-3,-5.6,0.6,,3.6,30.8
105,강릉,2022-01-14,-1.1,-6.3,6,,2.4,34.3
105,강릉,2022-01-15,3.4,-0.5,7.4,,2.5,37.1
105,강릉,2022-01-16,3.3,-1.8,6.7,,3.5,37.8
105,강릉,2022-01-17,-1.5,-4.3,3.2,,3.2,29.3
105,강릉,2022-01-18,-2.3,-6.4,3.2,,1.9,36.8
105,강릉,2022-01-19,-0.5,-3.9,5.1,2.8,2.2,49
105,강릉,2022-01-20,-1.6,-3.5,2.7,2.6,2.9,61.8
105,강릉,2022-01-21,0.5,-5,6.7,,2.3,59.4
105,강릉,2022-01-22,1.5,-2.6,8.1,,1.6,67.6
105,강릉,2022-01-23,2.9,-0.7,7.1,0.8,1.9,77.1
105,강릉,2022-01-24,2.4,1.1,3.9,1.2,1.1,84.3
105,강릉,2022-01-25,4.2,0.5,7.8,,2.1,64.3
105,강릉,2022-01-26,5.3,2.5,10,,2.3,46.1
105,강릉,2022-01-27,3,-0.7,8.5,,2.1,53.8
105,강릉,2022-01-28,2,-1.3,6.2,,2.4,37.3
105,강릉,2022-01-29,1.7,-2.2,7.4,,2.6,30.3
105,강릉,2022-01-30,0.5,-3.8,5.4,,2.4,39.1
105,강릉,2022-01-31,3,-2.3,9.2,,2.6,31
105,강릉,2022-02-01,2.1,-0.6,5.8,,3.2,46.1
105,강릉,2022-02-02,0.9,-1.6,5.5,,4,37.8
105,강릉,2022-02-03,0.7,-2.9,6.5,,3.1,32.6
105,강릉,2022-02-04,-1,-4.4,4.1,,3.4,30.4
105,강릉,2022-02-05,-3.5,-7.3,1.6,,4,32.8
105,강릉,2022-02-06,-0.5,-6.1,4.9,,2.7,30
105,강릉,2022-02-07,0.2,-3.8,4.3,,1.9,36.8
105,강릉,2022-02-08,1.6,-2.2,7.2,,1.7,39.5
105,강릉,2022-02-09,3.7,-2.1,9.8,,2.5,45.3
105,강릉,2022-02-10,3.6,0,8.6,,2.4,50.5
105,강릉,2022-02-11,5.9,-0.3,11.7,,2,39.1
105,강릉,2022-02-12,6.4,3.4,10.4,,1.7,45.6
105,강릉,2022-02-13,5,1.4,8.6,,2,69.6
105,강릉,2022-02-14,6.2,2.6,11.2,0.5,2.1,63
105,강릉,2022-02-15,-0.5,-4.5,3.5,,4.4,44
105,강릉,2022-02-16,-4.6,-7.2,0,,3.8,32.5
105,강릉,2022-02-17,-3.9,-9.2,1.5,,2.7,41
105,강릉,2022-02-18,2.3,-5,8.7,,3,38.4
105,강릉,2022-02-19,3.7,-0.1,7.1,,3,30.1
105,강릉,2022-02-20,-1.8,-5.5,3,,3.7,29
105,강릉,2022-02-21,0.2,-5,5.3,,3,37.8
105,강릉,2022-02-22,-1.2,-4.9,2.8,,3.2,30.4
105,강릉,2022-02-23,-2.5,-6.8,2.3,,2.3,34.3
105,강릉,2022-02-24,1.9,-4,8.5,,3.6,24.5
