ID,YMD,SGG_CD,FW,POWER
12568,2022-03-01,11170,-999.0,-999.0
12569,2022-03-01,11215,128.7,114421507.2
12570,2022-03-01,11230,2.7,2400451.2
12571,2022-03-01,11350,-999.0,-999.0
12572,2022-03-01,11470,3.13,2782745.28
12573,2022-03-01,11530,0.63,560105.28
12574,2022-03-01,11590,-999.0,-999.0
12575,2022-03-01,11680,0.35,311169.60000000003
12576,2022-03-01,11710,5.18,4605310.08
12577,2022-03-01,26260,0.0,0.0
12578,2022-03-01,26320,25.3,22493116.8
12579,2022-03-01,27140,7.49,6659029.44
12580,2022-03-01,27230,0.0,0.0
12581,2022-03-01,27260,13.88,12340097.280000005
12582,2022-03-01,27710,1055.23,938158562.88
12583,2022-03-01,28245,-999.0,-999.0
12584,2022-03-01,28260,-999.0,-999.0
12585,2022-03-01,29110,0.75,666791.9999999999
12586,2022-03-01,29140,0.7,622339.2000000001
12587,2022-03-01,29170,2.54,2258202.2400000007
12588,2022-03-01,29200,12.11,10766468.16
12589,2022-03-01,30110,0.05,44452.8
12590,2022-03-01,30140,0.44,391184.64
12591,2022-03-01,30170,0.12,106686.71999999996
12592,2022-03-01,30200,0.48,426746.87999999983
12593,2022-03-01,30230,13.58,12073380.48
12594,2022-03-01,31110,2.59,2302655.04
12595,2022-03-01,31140,4.65,4134110.400000001
12596,2022-03-01,31200,132.06,117408735.36
12597,2022-03-01,31710,1.38,1226897.2799999998
12598,2022-03-01,36110,-999.0,-999.0
12599,2022-03-01,41135,0.44,391184.64
12600,2022-03-01,41150,0.63,560105.28
12601,2022-03-01,41171,0.18,160030.08
12602,2022-03-01,41190,-999.0,-999.0
12603,2022-03-01,41210,2.68,2382670.08
12604,2022-03-01,41220,7.31,6498999.359999999
12605,2022-03-01,41250,1.52,1351365.12
12606,2022-03-01,41281,440.27,391424685.1199999
12607,2022-03-01,41310,2.3,2044828.8000000005
12608,2022-03-01,41360,130.63,116137385.28
12609,2022-03-01,41370,1.99,1769221.4400000002
12610,2022-03-01,41461,0.76,675682.56
12611,2022-03-01,41480,-999.0,-999.0
12612,2022-03-01,41500,-999.0,-999.0
12613,2022-03-01,41550,0.17,151139.52000000002
12614,2022-03-01,41570,-999.0,-999.0
12615,2022-03-01,41590,2.43,2160406.08
12616,2022-03-01,41610,-999.0,-999.0
12617,2022-03-01,41650,4.8,4267468.8
12618,2022-03-01,41650,2.01,1787002.5599999998
12619,2022-03-01,41670,-999.0,-999.0
12620,2022-03-01,41800,-999.0,-999.0
12621,2022-03-01,41820,-999.0,-999.0
12622,2022-03-01,41830,-999.0,-999.0
12623,2022-03-01,42110,87.59,77872415.04
12624,2022-03-01,42130,75.74,67337101.43999998
12625,2022-03-01,42150,-999.0,-999.0
12626,2022-03-01,42170,1.3,1155772.8
12627,2022-03-01,42190,0.0,0.0
12628,2022-03-01,42190,0.0,0.0
12629,2022-03-01,42230,0.0,0.0
12630,2022-03-01,42230,0.15,133358.4
12631,2022-03-01,42230,-999.0,-999.0
12632,2022-03-01,42720,-999.0,-999.0
12633,2022-03-01,42730,-999.0,-999.0
12634,2022-03-01,42730,0.72,640120.32
12635,2022-03-01,42750,0.27,240045.12
12636,2022-03-01,42760,-999.0,-999.0
12637,2022-03-01,42760,1.61,1431380.16
12638,2022-03-01,42760,-999.0,-999.0
12639,2022-03-01,42770,-999.0,-999.0
12640,2022-03-01,42780,0.0,0.0
12641,2022-03-01,42790,0.0,0.0
12642,2022-03-01,42790,-999.0,-999.0
12643,2022-03-01,42800,-999.0,-999.0
12644,2022-03-01,42800,-999.0,-999.0
12645,2022-03-01,42810,0.0,0.0
12646,2022-03-01,42830,0.02,17781.120000000003
12647,2022-03-01,43111,0.0,0.0
12648,2022-03-01,43112,0.0,0.0
12649,2022-03-01,43113,29.12,25889310.720000003
12650,2022-03-01,43114,4.37,3885174.72
12651,2022-03-01,43130,70.37,62562870.72
12652,2022-03-01,43150,0.0,0.0
12653,2022-03-01,43150,-999.0,-999.0
12654,2022-03-01,43720,0.77,684573.1200000001
12655,2022-03-01,43730,13.1,11646633.599999998
12656,2022-03-01,43730,1.2,1066867.2
12657,2022-03-01,43730,0.56,497871.3600000002
